"Date","Type","JDay","Coef","VIP","MetricMean","MetricStdev"
701,"Chill",-183,0.146967283768457,1.24581363481395,0.083372974076879,0.278850711921137
702,"Chill",-182,-0.0140666670335905,0.285679089782813,0.0501207471576909,0.220315448079818
703,"Chill",-181,0.00945019015816073,0.548363891858312,0.0672206391190217,0.253640853093002
704,"Chill",-180,-0.107971346066243,0.597393795482642,0.0671240221619067,0.253281072141196
705,"Chill",-179,0.220446782478462,1.96795780844605,0.0660397230487113,0.249290079852702
706,"Chill",-178,-0.0246508637644102,0.196416093952942,0.0167937788053017,0.130084051265649
707,"Chill",-177,-0.0615617075248366,0.657505554458259,0.0670235100378628,0.252900428438757
708,"Chill",-176,-0.0263896316277134,0.256894274368245,0.0169323605666481,0.131157500973214
709,"Chill",-175,0.0400248288039696,0.992254627713108,0.0504065350222271,0.221573471142431
710,"Chill",-174,-0.0503097646975175,0.257752259271521,0.0334941798912663,0.181893867616416
711,"Chill",-173,-0.00959893346316709,0.567715149093603,0.0372492901100155,0.180810943105692
712,"Chill",-172,0.0764800389593081,0.435221099683523,0.0503549733938583,0.221345111324104
713,"Chill",-171,-0.0290373501956319,0.154560849465533,0.0166684261778653,0.12911307398872
714,"Chill",-170,-0.0591549923723796,0.529336401133227,0.0503834024799267,0.221469536709371
715,"Chill",-169,0.0728023468609923,1.17264679841,0.0168132989522855,0.130235253674017
716,"Chill",-168,-0.051727942640676,0.392273218516036,0.0499307012133405,0.219492739656729
717,"Chill",-167,-0.0571664571352535,0.90924022599986,0.0334141540774732,0.181459733955625
718,"Chill",-166,0.0861101418656842,1.05463215680492,0.0336092923186625,0.182520432276529
719,"Chill",-165,0.0333768275350824,0.185547827916986,0.0166745392011109,0.12916042526317
720,"Chill",-164,0,0,0,0
721,"Chill",-163,0.0226877143552321,0.825249885827306,0.0669291121901307,0.252539467156225
722,"Chill",-162,0.044539632954024,0.473937291187124,0.0161155543865223,0.124830547507802
723,"Chill",-161,0,0,0,0
724,"Chill",-160,-0.236478178759073,1.30937134888216,0.0673046269810307,0.253957605962485
725,"Chill",-159,0.0417989409586741,0.967638343616058,0.0501656407479135,0.220513037168326
726,"Chill",-158,0.0295779164185333,0.287539858821955,0.0167193867703551,0.129507813040772
727,"Chill",-157,0,0,0,0
728,"Chill",-156,0.164099529329043,1.10233515296322,0.016716584064459,0.129486103374252
729,"Chill",-155,0.0301645069356655,0.695100174565618,0.0158867400071301,0.123058158946284
730,"Chill",-154,0.0652635158725407,1.17969752824507,0.0168545071485413,0.130554450989669
731,"Chill",-153,-0.0859953020012016,0.452712952796211,0.0169116828019762,0.130997331696792
801,"Chill",-152,-0.0299688386598245,0.156319419014511,0.0335410014947318,0.182149993057099
802,"Chill",-151,-0.0813339577076586,0.699475671548575,0.033641677087122,0.18269534153392
803,"Chill",-150,0.0295779164185333,0.287539858821955,0.0168270200602724,0.130341536919466
804,"Chill",-149,0,0,0,0
805,"Chill",-148,0.0295779164185333,0.287539858821955,0.0167295751324253,0.129586731754018
806,"Chill",-147,0,0,0,0
807,"Chill",-146,0.0295779164185333,0.287539858821955,0.0167643344517641,0.129855976283867
808,"Chill",-145,0,0,0,0
809,"Chill",-144,0,0,0,0
810,"Chill",-143,0,0,0,0
811,"Chill",-142,-0.118995221409198,0.603526111301638,0.0315358759483511,0.171581714468224
812,"Chill",-141,0,0,0,0
813,"Chill",-140,-0.0511455513550178,0.264563649121591,0.0335204147205446,0.182036401977308
814,"Chill",-139,0.0652635158725407,1.17969752824507,0.0166533990177751,0.12899667410718
815,"Chill",-138,-0.0183536969449135,0.19700847070587,0.0167181177554831,0.129497983293841
