"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
72529014768,"1990-01-01",43.11723,-77.67539,164.5,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",31.1,24,25,24,1006.2,24,985.6,24,9.6,24,15.2,24,21,27,44.1," ",25," ",0.2,"G",2.8,11000
72529014768,"1990-01-02",43.11723,-77.67539,164.5,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",30.1,24,20.1,24,1022.9,24,1.8,24,14.8,24,13.7,24,19,28.9,36,"*",26.1," ",0.04,"G",2.8,0
72529014768,"1990-01-03",43.11723,-77.67539,164.5,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",33.8,24,22,24,1023.5,24,2.5,24,16.4,24,6.5,24,11.1,999.9,44.1,"*",27," ",0,"G",2,0
72529014768,"1990-01-04",43.11723,-77.67539,164.5,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",43.7,24,34.3,24,1012.1,24,991.5,24,15.2,24,9.2,24,17.1,27,46.9,"*",37.9," ",0.02,"D",0.8,10000
72529014768,"1990-01-05",43.11723,-77.67539,164.5,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",33,24,26.3,24,1018.9,24,998.1,24,15.6,24,10,24,15,999.9,48," ",28," ",0.08,"G",999.9,10000
72529014768,"1990-01-06",43.11723,-77.67539,164.5,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",26.2,24,22.2,24,1018.1,24,997,24,11.7,24,8.5,24,18.1,25.1,35.1," ",19," ",0,"G",999.9,101000
72529014768,"1990-01-07",43.11723,-77.67539,164.5,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",29,24,20.6,24,1017,24,996,24,16.9,24,9.1,24,20,25.1,43,"*",15.1," ",0.02,"C",999.9,0
72529014768,"1990-01-08",43.11723,-77.67539,164.5,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",37.3,24,27.7,24,1012.2,24,991.5,24,14,24,7.9,24,15.9,999.9,44.1,"*",28.9," ",0,"D",999.9,0
72529014768,"1990-01-09",43.11723,-77.67539,164.5,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",36.7,24,27.4,24,1008,24,987.4,24,12.6,24,8.2,24,12,999.9,45," ",34," ",0,"C",999.9,10000
72529014768,"1990-01-10",43.11723,-77.67539,164.5,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",36.5,24,31.8,24,1002.7,24,982.3,24,7,24,7.8,24,15.9,999.9,41," ",33.1,"*",0.08,"G",999.9,111000
72529014768,"1990-01-11",43.11723,-77.67539,164.5,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",34.3,24,29.2,24,1002,24,981.4,24,8.9,24,11.9,24,25.1,34,39.9," ",32," ",0.08,"G",999.9,111000
72529014768,"1990-01-12",43.11723,-77.67539,164.5,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",28.7,24,23.5,24,995.5,24,975,24,5.9,24,17.3,24,22.9,34,39.9," ",21,"*",0.08,"G",999.9,1000
72529014768,"1990-01-13",43.11723,-77.67539,164.5,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",16.3,24,10.5,24,1015.8,24,994.6,24,8.3,24,14.5,24,21,25.1,34," ",10," ",0.12,"G",2,1000
72529014768,"1990-01-14",43.11723,-77.67539,164.5,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",23.5,24,15,24,1026.1,24,4.7,24,11.2,24,10.3,24,18.1,25.1,25,"*",18," ",0,"G",0.8,1000
72529014768,"1990-01-15",43.11723,-77.67539,164.5,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",35.7,24,25,24,1020.2,24,999.2,24,12.1,24,8.2,24,15.9,22.9,43,"*",25," ",0.01,"G",0.8,10000
72529014768,"1990-01-16",43.11723,-77.67539,164.5,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",41.5,24,37,24,1023.3,24,2.5,24,6.4,24,8,24,14,20,50,"*",37," ",0,"G",999.9,110000
72529014768,"1990-01-17",43.11723,-77.67539,164.5,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",45.4,24,42.6,24,1020.9,24,0.2,24,4.1,24,6.5,24,12,999.9,55,"*",36," ",0.04,"G",999.9,110000
